threshold,accuracy,precision,recall,f1
0.05,0.5007142857142857,0.5003573981415297,1.0,0.6669842782277274
0.060000000000000005,0.5007142857142857,0.5003573981415297,1.0,0.6669842782277274
0.07,0.5021428571428571,0.5010737294201861,1.0,0.6676204101096805
0.08000000000000002,0.5028571428571429,0.501432664756447,1.0,0.6679389312977099
0.09000000000000001,0.5071428571428571,0.5035971223021583,1.0,0.6698564593301436
0.1,0.5107142857142857,0.5054151624548736,1.0,0.6714628297362111
0.11000000000000001,0.5171428571428571,0.5087209302325582,1.0,0.674373795761079
0.12000000000000001,0.52,0.5102040816326531,1.0,0.6756756756756757
0.13,0.5221428571428571,0.5113221329437546,1.0,0.6766553890768487
0.14,0.525,0.5128205128205128,1.0,0.6779661016949152
0.15000000000000002,0.5271428571428571,0.5139500734214391,1.0,0.6789524733268671
0.16000000000000003,0.53,0.5154639175257731,1.0,0.6802721088435374
0.17000000000000004,0.5328571428571428,0.51698670605613,1.0,0.6815968841285297
0.18000000000000005,0.5335714285714286,0.5173688100517368,1.0,0.6819288845591817
0.19,0.5357142857142857,0.5185459940652819,0.9985714285714286,0.6826171875
0.2,0.5378571428571428,0.5197026022304833,0.9985714285714286,0.6836185819070905
0.21000000000000002,0.5364285714285715,0.5189873417721519,0.9957142857142857,0.6823299069995106
0.22000000000000003,0.5392857142857143,0.520537714712472,0.9957142857142857,0.6836684649337911
0.23000000000000004,0.5407142857142857,0.5213163799551234,0.9957142857142857,0.6843397152675503
0.24000000000000005,0.5414285714285715,0.5217065868263473,0.9957142857142857,0.6846758349705304
0.25000000000000006,0.5421428571428571,0.5220973782771535,0.9957142857142857,0.6850122850122851
0.26000000000000006,0.5421428571428571,0.5220973782771535,0.9957142857142857,0.6850122850122851
0.27,0.5442857142857143,0.5232732732732732,0.9957142857142857,0.6860236220472441
0.28,0.5471428571428572,0.5248493975903614,0.9957142857142857,0.6873767258382643
0.29000000000000004,0.55,0.5264350453172205,0.9957142857142857,0.6887351778656127
0.30000000000000004,0.5528571428571428,0.5280728376327769,0.9942857142857143,0.6897918731417245
0.31000000000000005,0.5542857142857143,0.5289193302891934,0.9928571428571429,0.6901688182720953
0.32000000000000006,0.5557142857142857,0.5297709923664122,0.9914285714285714,0.690547263681592
0.33,0.5607142857142857,0.5326170376055257,0.9914285714285714,0.6929605591612581
0.34,0.5607142857142857,0.5328185328185329,0.9857142857142858,0.6917293233082706
0.35000000000000003,0.5635714285714286,0.5344694035631293,0.9857142857142858,0.6931190356604722
0.36000000000000004,0.5707142857142857,0.5386416861826698,0.9857142857142858,0.6966178697627461
0.37000000000000005,0.5757142857142857,0.5419968304278923,0.9771428571428571,0.6972477064220184
0.38000000000000006,0.5764285714285714,0.542765787370104,0.97,0.6960533059969246
0.39000000000000007,0.58,0.5452342487883683,0.9642857142857143,0.6965944272445821
0.4000000000000001,0.585,0.5488907148726376,0.9542857142857143,0.6969222743870631
0.4100000000000001,0.5785714285714286,0.5465313028764806,0.9228571428571428,0.6865037194473964
0.42000000000000004,0.5778571428571428,0.5469422911283376,0.9071428571428571,0.6824288017195056
0.43000000000000005,0.5785714285714286,0.5488454706927176,0.8828571428571429,0.6768893756845564
0.44000000000000006,0.5821428571428572,0.5531914893617021,0.8542857142857143,0.6715328467153284
0.45000000000000007,0.575,0.5511197663096398,0.8085714285714286,0.6554719166184134
0.4600000000000001,0.5685714285714286,0.5509554140127388,0.7414285714285714,0.6321559074299634
0.4700000000000001,0.5678571428571428,0.5549132947976878,0.6857142857142857,0.6134185303514377
0.4800000000000001,0.5585714285714286,0.5531088082901554,0.61,0.5801630434782609
0.49000000000000005,0.5535714285714286,0.5570776255707762,0.5228571428571429,0.5394252026529108
0.5000000000000001,0.5464285714285714,0.5585585585585585,0.44285714285714284,0.4940239043824701
0.5100000000000001,0.5478571428571428,0.5746102449888641,0.36857142857142855,0.4490861618798956
0.5200000000000001,0.5478571428571428,0.5902964959568733,0.31285714285714283,0.40896358543417366
