,accuracy,precision,recall,f1,pr_auc,roc_auc,precision_per_class,recall_per_class,f1_per_class,loss,true_positives,true_negatives,false_positives,false_negatives
Salesforce/codet5-base,0.5761346998535871,0.701381188451948,0.5761346998535871,0.489619942818536,0.6669354177699048,0.6601828577801416,"[0.5478680611423974, 0.8617886178861789]","[0.9756446991404012, 0.15868263473053892]","[0.7017001545595054, 0.26801517067003794]",0.04798490960390596,106,681,17,562
Salesforce/codet5-small,0.5109809663250366,0.2611015479464682,0.5109809663250366,0.3456053435027864,0.589638461887495,0.5742047423777088,"[0.5109809663250366, 0.0]","[1.0, 0.0]","[0.6763565891472868, 0.0]",0.043473910573020316,0,698,0,668
microsoft/codebert-base,0.5837138508371386,0.6678614270657299,0.5837138508371386,0.5148413943282111,0.6686514365836862,0.6666960289109931,"[0.5547826086956522, 0.7865853658536586]","[0.9479940564635958, 0.20124804992199688]","[0.6999451453647834, 0.3204968944099379]",0.05911147069273726,129,638,35,512
microsoft/graphcodebert-base,0.5722983257229832,0.613946053390602,0.5722983257229832,0.5184057994343211,0.657655910652541,0.6558659968984197,"[0.5506849315068493, 0.680365296803653]","[0.8959881129271917, 0.23244929797191888]","[0.6821266968325792, 0.34651162790697676]",0.05978483435525177,149,603,70,492
