threshold,accuracy,precision,recall,f1
0.05,0.5392857142857143,0.5204460966542751,1.0,0.684596577017115
0.060000000000000005,0.5407142857142857,0.5212211466865228,1.0,0.6852667645619187
0.07,0.5435714285714286,0.5227781926811053,1.0,0.6866110838646395
0.08000000000000002,0.5442857142857143,0.5232035928143712,0.9985714285714286,0.6866404715127702
0.09000000000000001,0.545,0.5235955056179775,0.9985714285714286,0.686977886977887
0.1,0.5471428571428572,0.5247747747747747,0.9985714285714286,0.687992125984252
0.11000000000000001,0.5485714285714286,0.5255639097744361,0.9985714285714286,0.6886699507389162
0.12000000000000001,0.5478571428571428,0.5252830188679245,0.9942857142857143,0.6874074074074074
0.13,0.5485714285714286,0.525679758308157,0.9942857142857143,0.6877470355731226
0.14,0.55,0.5264750378214826,0.9942857142857143,0.6884272997032641
0.15000000000000002,0.5528571428571428,0.5281155015197568,0.9928571428571429,0.689484126984127
0.16000000000000003,0.5557142857142857,0.5297709923664122,0.9914285714285714,0.690547263681592
0.17000000000000004,0.5585714285714286,0.531441717791411,0.99,0.6916167664670658
0.18000000000000005,0.5607142857142857,0.5327174749807544,0.9885714285714285,0.6923461730865432
0.19,0.565,0.5351894818252126,0.9885714285714285,0.694430506773708
0.2,0.5657142857142857,0.5356589147286822,0.9871428571428571,0.6944723618090453
0.21000000000000002,0.5692857142857143,0.5379796397807362,0.9814285714285714,0.6949924127465857
0.22000000000000003,0.5742857142857143,0.5410742496050553,0.9785714285714285,0.6968463886063072
0.23000000000000004,0.5778571428571428,0.5432196669310071,0.9785714285714285,0.6986231514533401
0.24000000000000005,0.585,0.5476381104883907,0.9771428571428571,0.7018984094407389
0.25000000000000006,0.5871428571428572,0.5491143317230274,0.9742857142857143,0.7023686920700309
0.26000000000000006,0.59,0.5511363636363636,0.97,0.7028985507246377
0.27,0.5921428571428572,0.5530864197530864,0.96,0.7018276762402089
0.28,0.5928571428571429,0.5538971807628524,0.9542857142857143,0.7009443861490031
0.29000000000000004,0.5892857142857143,0.5522138680033417,0.9442857142857143,0.6968898260411176
0.30000000000000004,0.5885714285714285,0.5521885521885522,0.9371428571428572,0.6949152542372882
0.31000000000000005,0.5857142857142857,0.5514579759862779,0.9185714285714286,0.6891747052518756
0.32000000000000006,0.5878571428571429,0.5531547104580813,0.9142857142857143,0.6892837910608508
0.33,0.5835714285714285,0.5511811023622047,0.9,0.6836679327183939
0.34,0.5842857142857143,0.5525846702317291,0.8857142857142857,0.6805708013172338
0.35000000000000003,0.5885714285714285,0.5560578661844484,0.8785714285714286,0.6810631229235881
0.36000000000000004,0.5864285714285714,0.5556577736890524,0.8628571428571429,0.6759932848349188
0.37000000000000005,0.5807142857142857,0.5532516493873704,0.8385714285714285,0.6666666666666666
0.38000000000000006,0.5807142857142857,0.5544840887174542,0.8214285714285714,0.6620610247553252
0.39000000000000007,0.575,0.5521350546176763,0.7942857142857143,0.651435266549502
0.4000000000000001,0.5721428571428572,0.5516888433981576,0.77,0.6428145497912939
0.4100000000000001,0.575,0.5557917109458024,0.7471428571428571,0.6374162096282754
0.42000000000000004,0.5714285714285714,0.5556792873051225,0.7128571428571429,0.6245306633291614
0.43000000000000005,0.5657142857142857,0.5537383177570093,0.6771428571428572,0.609254498714653
0.44000000000000006,0.5635714285714286,0.5536791314837153,0.6557142857142857,0.6003924133420536
0.45000000000000007,0.5657142857142857,0.5582278481012658,0.63,0.5919463087248322
0.4600000000000001,0.5692857142857143,0.5640686922060766,0.61,0.5861358956760466
0.4700000000000001,0.5635714285714286,0.5622377622377622,0.5742857142857143,0.5681978798586572
0.4800000000000001,0.5578571428571428,0.5598227474150664,0.5414285714285715,0.5504720406681191
0.49000000000000005,0.5592857142857143,0.5655608214849921,0.5114285714285715,0.5371342835708928
0.5000000000000001,0.565,0.576214405360134,0.49142857142857144,0.5304548959136469
0.5100000000000001,0.5585714285714286,0.5729537366548043,0.46,0.5103011093502378
0.5200000000000001,0.555,0.573055028462998,0.43142857142857144,0.49225753871230643
0.5300000000000001,0.5507142857142857,0.5725971370143149,0.4,0.47098402018502944
0.5400000000000001,0.5492857142857143,0.5764966740576497,0.37142857142857144,0.45178105994787143
0.5500000000000002,0.5507142857142857,0.5847255369928401,0.35,0.43789097408400357
0.5600000000000002,0.5492857142857143,0.5891472868217055,0.32571428571428573,0.41950321987120515
0.5700000000000002,0.5428571428571428,0.5824175824175825,0.3028571428571429,0.39849624060150374
0.5800000000000002,0.5371428571428571,0.5783132530120482,0.2742857142857143,0.37209302325581395
0.5900000000000002,0.5421428571428571,0.5960912052117264,0.26142857142857145,0.3634558093346574
0.6000000000000002,0.545,0.6105263157894737,0.24857142857142858,0.3532994923857868
0.6100000000000001,0.5428571428571428,0.6136363636363636,0.23142857142857143,0.3360995850622407
0.6200000000000001,0.5407142857142857,0.6153846153846154,0.21714285714285714,0.32101372756071805
0.6300000000000001,0.5392857142857143,0.6170212765957447,0.20714285714285716,0.31016042780748665
0.6400000000000001,0.5357142857142857,0.6201923076923077,0.18428571428571427,0.2841409691629956
0.6500000000000001,0.5292857142857142,0.6108108108108108,0.16142857142857142,0.25536723163841807
0.6600000000000001,0.5307142857142857,0.6319018404907976,0.14714285714285713,0.23870220162224798
0.6700000000000002,0.5285714285714286,0.6428571428571429,0.12857142857142856,0.21428571428571427
0.6800000000000002,0.5314285714285715,0.6746031746031746,0.12142857142857143,0.20581113801452786
0.6900000000000002,0.5342857142857143,0.7,0.12,0.2048780487804878
0.7000000000000002,0.5357142857142857,0.7314814814814815,0.11285714285714285,0.19554455445544555
