Model,Mean F1,Std F1,Min F1,Max F1,Median F1
distilgpt2,0.8875375847642386,0.23734818012827505,0.23404255319148937,1.0,0.9844951923076923
Qwen/Qwen2.5-Coder-1.5B,0.856457500534413,0.26395111303714835,0.0,1.0,0.9737861864599955
