,accuracy,precision,recall,f1,pr_auc,roc_auc,precision_per_class,recall_per_class,f1_per_class,loss,true_positives,true_negatives,false_positives,false_negatives
Salesforce/codet5-base,0.5944363103953147,0.6023988159791251,0.5944363103953147,0.5896134382942582,0.6723302689459005,0.6682812741279618,"[0.6348314606741573, 0.5685096153846154]","[0.48567335243553006, 0.7080838323353293]","[0.5503246753246753, 0.6306666666666667]",1.3649183252999253,473,339,359,195
Salesforce/codet5-small,0.5087847730600292,0.7219745096176655,0.5087847730600292,0.3658530565011037,0.6118736944871173,0.6191052708336907,"[0.9354838709677419, 0.49887640449438203]","[0.04154727793696275, 0.9970059880239521]","[0.07956104252400549, 0.6650024962556166]",0.7346004204966171,666,29,669,2
microsoft/codebert-base,0.5905631659056316,0.6119381909477318,0.5905631659056316,0.5758217411651013,0.6610981673780558,0.6528745250850152,"[0.6642335766423357, 0.5570321151716501]","[0.40564635958395245, 0.7847113884555382]","[0.503690036900369, 0.6515544041450777]",1.0171755729271468,503,273,400,138
microsoft/graphcodebert-base,0.601978691019787,0.603766141224732,0.601978691019787,0.601570695855012,0.6613759050861365,0.666849021657746,"[0.6225490196078431, 0.584045584045584]","[0.5661218424962853, 0.6396255850234009]","[0.5929961089494163, 0.6105733432613552]",2.113773570215706,410,381,292,231
