threshold,accuracy,precision,recall,f1
0.05,0.5407142857142857,0.5212211466865228,1.0,0.6852667645619187
0.060000000000000005,0.5414285714285715,0.5216095380029806,1.0,0.6856023506366308
0.07,0.5421428571428571,0.5220313666915609,0.9985714285714286,0.68563021088769
0.08000000000000002,0.5435714285714286,0.5228122662677637,0.9985714285714286,0.6863033873343152
0.09000000000000001,0.5457142857142857,0.5239880059970015,0.9985714285714286,0.6873156342182891
0.1,0.5464285714285714,0.5243810952738185,0.9985714285714286,0.6876537137235612
0.11000000000000001,0.5478571428571428,0.5251690458302029,0.9985714285714286,0.6883308714918759
0.12000000000000001,0.5464285714285714,0.5245283018867924,0.9928571428571429,0.6864197530864198
0.13,0.55,0.5265151515151515,0.9928571428571429,0.6881188118811881
0.14,0.5507142857142857,0.5269143290371494,0.9928571428571429,0.6884596334819217
0.15000000000000002,0.5514285714285714,0.5274390243902439,0.9885714285714285,0.6878727634194831
0.16000000000000003,0.555,0.5294567712318287,0.9885714285714285,0.6895864474339811
0.17000000000000004,0.5564285714285714,0.5302681992337165,0.9885714285714285,0.6902743142144638
0.18000000000000005,0.5592857142857143,0.5318985395849347,0.9885714285714285,0.6916541729135433
0.19,0.5614285714285714,0.533179012345679,0.9871428571428571,0.6923847695390781
0.2,0.5621428571428572,0.5336426914153132,0.9857142857142858,0.6924234821876568
0.21000000000000002,0.5678571428571428,0.5369649805447471,0.9857142857142858,0.6952141057934509
0.22000000000000003,0.5707142857142857,0.5387021110242377,0.9842857142857143,0.696311268317332
0.23000000000000004,0.5735714285714286,0.5405192761605035,0.9814285714285714,0.6971080669710806
0.24000000000000005,0.5771428571428572,0.5427215189873418,0.98,0.6985743380855397
0.25000000000000006,0.5814285714285714,0.5454545454545454,0.9771428571428571,0.7001023541453428
0.26000000000000006,0.5835714285714285,0.5469125902165196,0.9742857142857143,0.7005649717514124
0.27,0.5814285714285714,0.5459677419354839,0.9671428571428572,0.6979381443298969
0.28,0.5807142857142857,0.545897644191714,0.96,0.6960124287933713
0.29000000000000004,0.58,0.5459770114942529,0.95,0.6934306569343066
0.30000000000000004,0.5814285714285714,0.5472636815920398,0.9428571428571428,0.6925498426023085
0.31000000000000005,0.5814285714285714,0.5478991596638656,0.9314285714285714,0.68994708994709
0.32000000000000006,0.5828571428571429,0.5495726495726496,0.9185714285714286,0.6877005347593583
0.33,0.5764285714285714,0.546562228024369,0.8971428571428571,0.6792861005949161
0.34,0.5735714285714286,0.5455349248452697,0.8814285714285715,0.6739486619333698
0.35000000000000003,0.5714285714285714,0.5451263537906137,0.8628571428571429,0.668141592920354
0.36000000000000004,0.5678571428571428,0.5435380384967919,0.8471428571428572,0.6621998883305416
0.37000000000000005,0.565,0.5429650613786591,0.8214285714285714,0.6537805571347356
0.38000000000000006,0.5664285714285714,0.5449275362318841,0.8057142857142857,0.6501440922190201
0.39000000000000007,0.5707142857142857,0.5490584737363726,0.7914285714285715,0.6483323581041545
0.4000000000000001,0.5721428571428572,0.5514780835881753,0.7728571428571429,0.643664485425342
0.4100000000000001,0.5764285714285714,0.5563751317175974,0.7542857142857143,0.6403881140084899
0.42000000000000004,0.5778571428571428,0.559432933478735,0.7328571428571429,0.634508348794063
0.43000000000000005,0.5778571428571428,0.5624284077892325,0.7014285714285714,0.6242848061029879
0.44000000000000006,0.5764285714285714,0.5650060753341434,0.6642857142857143,0.6106369008535785
0.45000000000000007,0.5721428571428572,0.5651612903225807,0.6257142857142857,0.5938983050847457
0.4600000000000001,0.5735714285714286,0.5702592087312415,0.5971428571428572,0.5833914863921842
0.4700000000000001,0.5692857142857143,0.5697841726618705,0.5657142857142857,0.567741935483871
0.4800000000000001,0.56,0.5640243902439024,0.5285714285714286,0.5457227138643068
0.49000000000000005,0.5614285714285714,0.5711920529801324,0.4928571428571429,0.5291411042944786
0.5000000000000001,0.5607142857142857,0.5754884547069272,0.46285714285714286,0.5130641330166271
0.5100000000000001,0.5592857142857143,0.5818540433925049,0.42142857142857143,0.4888152444076222
0.5200000000000001,0.5621428571428572,0.5911949685534591,0.40285714285714286,0.4791843670348343
0.5300000000000001,0.5542857142857143,0.5852017937219731,0.37285714285714283,0.45549738219895286
0.5400000000000001,0.5542857142857143,0.5926829268292683,0.34714285714285714,0.43783783783783786
0.5500000000000002,0.5428571428571428,0.5793650793650794,0.31285714285714283,0.40630797773654914
0.5600000000000002,0.5478571428571428,0.5943661971830986,0.30142857142857143,0.4
0.5700000000000002,0.5435714285714286,0.5944272445820433,0.2742857142857143,0.375366568914956
0.5800000000000002,0.5407142857142857,0.5986159169550173,0.24714285714285714,0.34984833164812945
0.5900000000000002,0.5435714285714286,0.610909090909091,0.24,0.3446153846153846
0.6000000000000002,0.5507142857142857,0.6403162055335968,0.23142857142857143,0.33997901364113325
0.6100000000000001,0.5478571428571428,0.645021645021645,0.21285714285714286,0.3200859291084855
0.6200000000000001,0.5457142857142857,0.6481481481481481,0.2,0.3056768558951965
0.6300000000000001,0.5442857142857143,0.6534653465346535,0.18857142857142858,0.2926829268292683
0.6400000000000001,0.5371428571428571,0.6494252873563219,0.16142857142857142,0.2585812356979405
0.6500000000000001,0.5371428571428571,0.6666666666666666,0.14857142857142858,0.24299065420560748
0.6600000000000001,0.5314285714285715,0.6617647058823529,0.12857142857142856,0.215311004784689
0.6700000000000002,0.5328571428571428,0.6825396825396826,0.12285714285714286,0.20823244552058112
0.6800000000000002,0.5342857142857143,0.7142857142857143,0.11428571428571428,0.19704433497536947
